ï»¿OBJECTID,GEO_ID_TRT,TRACT_LBL,Shape_Length,Shape_Area,E28007101,M28007101,E28007102,M28007102,E28007103,M28007103,E28007104,M28007104,E28007105,M28007105,E28007106,M28007106,E28007107,M28007107,E28007108,M28007108,E28007109,M28007109,E28007110,M28007110,E28007111,M28007111,E28007112,M28007112,E28007113,M28007113,E28007114,M28007114,E28007115,M28007115,E28007116,M28007116,E28007117,M28007117,E28007118,M28007118,E28007119,M28007119,E28007120,M28007120
1,53033000100,Tract 000100,23925.24709,34403118.04,6627,415,4474,423,4166,401,4070,397,0,17,3902,419,168,157,96,76,308,149,294,148,0,17,294,148,0,17,14,22,2153,300,1777,317,0,17,1567,293,210,115,376,194
2,53033000200,Tract 000200,24111.64584,35371060.6,6810,362,4615,361,4337,383,4256,386,0,17,3935,409,321,231,81,55,278,115,278,115,0,17,221,112,57,65,0,17,2195,369,2096,367,0,17,1815,344,281,171,99,57
3,53033000300,Tract 000300,17267.97037,13028874.31,2317,154,1731,136,1688,146,1661,151,0,12,1612,159,49,67,27,31,43,53,8,12,0,12,0,12,8,12,35,52,586,119,537,118,0,12,486,117,51,58,49,38
4,53033000401,Tract 000401,15767.29746,14678461.64,5949,393,3598,365,3423,359,3259,383,18,28,2943,390,298,199,164,110,175,114,175,114,0,17,163,104,12,27,0,17,2351,384,1833,399,16,25,1671,405,146,106,518,158
5,53033000402,Tract 000402,21397.17489,19362168.18,4463,516,3043,457,2928,436,2886,434,0,17,2675,447,211,171,42,53,115,84,115,84,0,17,115,84,0,17,0,17,1420,227,1028,209,16,25,931,187,81,86,392,135
6,53033000500,Tract 000500,29214.34179,41226318.66,2518,149,1572,126,1535,125,1506,124,0,12,1506,124,0,12,29,31,37,29,37,29,0,12,37,29,0,12,0,12,946,144,895,139,24,28,856,135,15,19,51,45
7,53033000600,Tract 000600,31707.38715,41308522.38,6458,479,4777,440,4631,433,4510,462,0,17,4195,449,315,137,121,94,146,79,146,79,0,17,146,79,0,17,0,17,1681,243,1382,249,0,17,1251,247,131,67,299,139
8,53033000700,Tract 000700,16213.54033,13934783.18,4133,355,2977,315,2907,320,2871,329,0,12,2690,327,181,145,36,44,70,50,70,50,0,12,70,50,0,12,0,12,1156,230,1045,231,0,12,1006,239,39,47,111,97
9,53033000800,Tract 000800,15396.72215,12287102.96,2019,147,1512,128,1474,128,1459,125,0,12,1451,126,8,12,15,21,38,31,38,31,0,12,38,31,0,12,0,12,507,80,462,83,0,12,455,85,7,12,45,41
10,53033000900,Tract 000900,36672.81578,41843460.75,1626,108,1110,120,1069,119,1069,119,0,12,1044,115,25,28,0,12,41,25,41,25,0,12,31,20,10,14,0,12,516,92,458,78,0,12,438,78,20,21,58,44
11,53033001000,Tract 001000,13304.72443,10273001.58,1513,132,1103,116,1010,123,998,123,0,12,961,129,37,34,12,13,93,49,74,41,0,12,74,41,0,12,19,26,410,71,364,73,0,12,331,66,33,31,46,39
12,53033001100,Tract 001100,14316.88537,11413493.08,2327,221,1651,197,1610,192,1610,192,0,12,1568,193,42,44,0,12,41,42,41,42,0,12,41,42,0,12,0,12,676,115,640,112,0,12,587,121,53,60,36,28
13,53033001200,Tract 001200,20850.967,19739929.15,6019,398,3798,414,3476,402,3476,402,0,17,3301,407,175,149,0,17,322,177,264,151,0,17,193,129,71,94,58,90,2221,293,1821,326,16,27,1637,314,168,108,400,165
14,53033001300,Tract 001300,15158.90532,12758866.69,3962,241,2967,265,2900,260,2886,261,0,12,2840,261,46,59,14,21,67,56,67,56,0,12,54,51,13,22,0,12,995,162,836,177,0,12,774,168,62,53,159,90
15,53033001400,Tract 001400,35087.90277,25277608.59,4553,380,3617,386,3487,386,3487,386,0,17,3396,381,91,80,0,17,130,76,130,76,0,17,130,76,0,17,0,17,936,190,757,186,0,17,702,155,55,89,179,80
16,53033001500,Tract 001500,18901.39303,16932335.31,2142,140,1498,152,1460,154,1430,157,7,12,1381,164,42,41,30,27,38,30,38,30,0,12,38,30,0,12,0,12,644,100,606,104,21,32,585,107,0,12,38,31
17,53033001600,Tract 001600,27159.29818,26966663.5,3683,184,2623,191,2523,177,2523,177,0,12,2444,185,79,61,0,12,100,66,100,66,0,12,100,66,0,12,0,12,1060,149,999,154,17,25,967,149,15,17,61,41
18,53033001701,Tract 001701,17164.45464,9609050.93,3473,262,2801,261,2601,243,2588,243,0,12,2541,248,47,33,13,19,200,86,200,86,0,12,200,86,0,12,0,12,672,115,603,120,0,12,594,122,9,16,69,57
19,53033001702,Tract 001702,17476.40639,13779297.6,4081,281,3013,271,2878,267,2860,270,0,12,2774,291,86,77,18,20,135,106,135,106,0,12,95,85,40,53,0,12,1068,215,854,223,0,12,792,220,62,72,214,96
20,53033001800,Tract 001800,14228.98888,10131535.21,4699,503,4007,577,3786,540,3766,543,0,17,3659,547,107,147,20,33,221,156,221,156,0,17,181,146,40,62,0,17,692,222,640,214,0,17,607,217,33,51,52,48
21,53033001900,Tract 001900,21128.61943,17904663.97,4079,237,3036,246,2825,229,2794,229,0,12,2705,231,89,54,31,48,211,140,211,140,0,12,211,140,0,12,0,12,1043,144,857,128,0,12,719,129,138,94,186,90
22,53033002000,Tract 002000,15511.7437,12183652.44,3210,175,2360,185,2260,188,2251,186,0,12,2180,182,71,59,9,14,100,75,100,75,0,12,100,75,0,12,0,12,850,155,729,162,0,12,649,160,80,60,121,55
23,53033002100,Tract 002100,16139.92101,14696753.74,3424,174,2588,172,2479,164,2479,164,9,14,2385,168,85,58,0,12,109,62,109,62,0,12,101,61,8,12,0,12,836,126,803,122,0,12,770,123,33,26,33,25
