ï»¿OBJECTID,GEO_ID_TRT,FEATURE_ID,TRACT_LBL,LOGRECNO,ESL_Score,Income_Score,RE_Score,TotalScore,WeightedTotal333333,Population,NumberofESL,PercentESL,MedianHouseholdIncome,NumberofPOC,PercentPOC,Shape_Length,Shape_Area
1,53033001701,11040,Tract 001701,4657,2,4,2,8,2.66666667,4004,207,5.16983017,69190,1210,30.21978022,17164.45464,9609050.93
2,53033001702,11108,Tract 001702,4658,2,4,2,8,2.66666667,4832,271,5.60844371,69177,1217,25.18625828,17476.40639,13779297.6
3,53033001800,11157,Tract 001800,4659,3,3,2,8,2.66666667,5380,536,9.96282528,89260,1760,32.71375465,14228.98888,10131535.21
4,53033001600,45777,Tract 001600,4656,1,2,1,4,1.33333333,4603,69,1.49902238,117250,793,17.22789485,23906.30881,21045602.52
5,53033001500,45707,Tract 001500,4655,1,3,1,5,1.66666667,2548,35,1.37362637,96019,279,10.94976452,14232.93646,12428020.64
6,53033001400,45775,Tract 001400,4654,1,4,2,7,2.33333333,5550,233,4.1981982,71144,1460,26.30630631,31791.81494,23168932.04
7,53033001300,10810,Tract 001300,4653,3,4,3,10,3.33333333,4468,584,13.07072516,70764,1981,44.33751119,15158.90532,12758866.69
8,53033001200,10749,Tract 001200,4652,4,5,3,12,4,7024,1201,17.09851936,46358,2857,40.67482916,20850.967,19739929.15
9,53033001900,11222,Tract 001900,4660,2,4,2,8,2.66666667,4777,395,8.26878794,75652,1333,27.9045426,21128.61943,17904663.97
10,53033002600,44122,Tract 002600,4666,1,3,1,5,1.66666667,5061,86,1.69926892,106193,968,19.12665481,15936.13706,13398377.35
11,53033002000,44184,Tract 002000,4661,1,3,1,5,1.66666667,3814,58,1.52071316,95469,654,17.14735186,15511.7437,12183652.44
12,53033002100,11332,Tract 002100,4662,2,3,1,6,2,4210,372,8.83610451,95515,966,22.94536817,16139.92101,14696753.74
13,53033002200,45770,Tract 002200,4663,1,1,1,3,1,5764,179,3.1054823,144318,1299,22.53643303,32855.3342,29722830.11
14,53033002400,11471,Tract 002400,4664,1,2,1,4,1.33333333,3180,88,2.7672956,109402,595,18.71069182,14063.41388,10538770.86
15,53033002500,11521,Tract 002500,4665,1,2,1,4,1.33333333,3316,41,1.23642943,107401,596,17.973462,16442.9684,10594623.24
16,53033002700,11710,Tract 002700,4667,2,2,2,6,2,6155,294,4.77660439,121807,1589,25.81640942,24129.07917,17154146.18
17,53033002800,11773,Tract 002800,4668,1,2,1,4,1.33333333,4854,89,1.83353935,119875,724,14.91553358,13187.71249,10584443.84
18,53033002900,11836,Tract 002900,4669,1,3,1,5,1.66666667,4744,54,1.13827993,104375,661,13.93338954,13366.31951,10614773.77
19,53033003000,11932,Tract 003000,4670,1,3,1,5,1.66666667,5940,81,1.36363636,100500,1162,19.56228956,16061.94762,16072222.01
20,53033003100,44999,Tract 003100,4671,1,3,1,5,1.66666667,6457,127,1.96685767,104934,837,12.96267617,26506.25638,23537276.38
21,53033001100,10684,Tract 001100,4651,2,4,2,8,2.66666667,2791,178,6.37764242,78542,772,27.6603368,14316.88537,11413493.08
22,53033001000,10643,Tract 001000,4650,3,3,2,8,2.66666667,1982,215,10.84762866,103750,659,33.24924319,13304.72443,10273001.58
23,53033000900,45773,Tract 000900,4649,1,2,1,4,1.33333333,1972,59,2.99188641,135625,423,21.45030426,29802.97959,10244381.15
