ï»¿OBJECTID,GEO_ID_TRT,TRACT_AREA,TRACT_PERI,LOGRECNO,NFB2,PFB5,MHHI1,NP2002,PP2005,PS5,PV5,PR5,PAL5,PC5,PK5,NS2,NR2,NC2,NK2,NV2,NAL2,NL2,PL5,TotalPopulation,OtherLang,PercentOtherLang,TRACT_LBL_1,POC,PWNH,PBNH,PAINH,PANH,PHNH,P2NH,PHL,PNW,WhiteAlone,NotLatino,BlackAlone,AIANAlone,AsianAlone,NHOPIalone,TworacesAlone,HispanicorLatino,Male,Female,Under18,Between18and65,Over65,PercentMale,PercentFemale,Percent17Under,PercentBetween18and65,Percent65andOver,Shape_Length,Shape_Area
1,53033000100,34403118.04,23925.24709,4640,2270,28.50684415,50030,1682,21.12269245,8.96646992,1.25580811,2.90091674,5.02323245,0.87906568,0,714,231,70,0,100,400,878,11.02599523,7963,2406,30.21474319,Tract 000100,3666,53.9620746,13.93947005,0.30139395,13.13575286,1.14278538,6.00276278,11.51576039,46.0379254,4297,7046,1110,24,1046,91,478,917,4117,3846,1419,5490,1054,51.70161999,48.29838001,17.81991712,68.94386538,13.23621751,19731.62075,19903611.95
2,53033000200,35371060.6,24111.64584,4641,1964,24.63313684,67397,937,11.75216355,4.59049291,0.97830177,0.71491283,3.90066474,5.95760692,3.33625988,366,57,475,266,78,311,1306,16.38028346,7973,2400,30.10159288,Tract 000200,2930,63.25097203,4.32710398,1.30440236,16.38028346,0,6.76031607,7.58810987,36.74902797,5043,7368,345,104,1306,0,539,605,3916,4057,1200,5531,1242,49.11576571,50.88423429,15.05079644,69.37162925,15.57757431,24111.64584,35371060.6
3,53033000300,13028874.31,17267.97037,4642,295,10.45357902,73098,303,10.73706591,4.4649185,0,0.53153792,1.34656272,2.23245925,0,126,15,63,0,0,38,157,5.56343019,2822,440,15.59177888,Tract 000300,742,73.70659107,4.32317505,0,11.12686038,1.06307583,4.6420978,5.13819986,26.29340893,2080,2677,122,0,314,30,131,145,1443,1379,507,1987,328,51.13394755,48.86605245,17.96598157,70.41105599,11.62296244,17267.97037,13028874.31
4,53033000401,14678461.64,15767.29746,4643,1519,22.60080345,32568,2295,34.14670436,1.96399345,0.49099836,0.13390864,6.20443386,1.14566285,1.57714626,132,9,77,106,33,417,684,10.17705699,6721,1554,23.12155929,Tract 000401,3128,53.45930665,13.65868174,0.43148341,17.46763874,0,7.06740068,7.91548877,46.54069335,3593,6189,918,29,1174,0,475,532,3058,3663,834,4540,1347,45.49918167,54.50081833,12.40886773,67.5494718,20.04166047,15767.29746,14678461.64
5,53033000402,19362168.18,21397.17489,4644,560,10.56603774,64972,731,13.79245283,3.26415094,0,0.73584906,2.28301887,0.73584906,0.0754717,173,39,39,4,0,121,162,3.05660377,5300,635,11.98113208,Tract 000402,1159,78.13207547,3.37735849,0.28301887,6.33962264,0.8490566,5.09433962,5.9245283,21.86792453,4141,4986,179,15,336,45,270,314,2708,2592,619,3327,1354,51.09433962,48.90566038,11.67924528,62.77358491,25.54716981,21397.17489,19362168.18
6,53033000500,41226318.66,29214.34179,4645,319,10.45216252,135524,219,7.17562254,2.19528178,2.45740498,0,0.6225426,1.04849279,0.5897772,67,0,32,18,75,19,127,4.16120577,3052,305,9.99344692,Tract 000500,605,80.17693316,1.31061599,0,10.19003932,0,4.94757536,3.37483617,19.82306684,2447,2949,40,0,311,0,151,103,1522,1530,604,1722,726,49.8689384,50.1310616,19.79030144,56.42201835,23.78768021,27182.13034,30555892.39
7,53033000600,41308522.38,31707.38715,4646,1598,19.8238432,61536,863,10.70586776,7.43083985,1.93524377,2.95248728,0.81875698,5.61965017,0.23570277,599,238,453,19,156,66,1001,12.41781417,8061,2006,24.88524997,Tract 000600,3012,62.63490882,10.23446223,0.81875698,11.49981392,0,4.3915147,10.42054336,37.36509118,5049,7221,825,66,927,0,354,840,4071,3990,1628,5398,1035,50.50241905,49.49758095,20.19600546,66.96439648,12.83959806,31707.38715,41308522.38
8,53033000700,13934783.18,16213.54033,4647,1293,26.63782447,52957,713,14.68891636,5.52121961,1.87474248,1.46271117,6.34528224,3.46106304,0.39142975,268,71,168,19,91,308,532,10.96003296,4854,1390,28.63617635,Tract 000700,2295,52.71940667,13.12319736,0.32962505,17.4907293,2.30737536,3.50226617,9.3119077,47.28059333,2559,4402,637,16,849,112,170,452,2101,2753,742,3451,661,43.28388958,56.71611042,15.28636176,71.0960033,13.61763494,16213.54033,13934783.18
9,53033000800,12287102.96,15396.72215,4648,232,8.98528273,97344,198,7.66847405,0.89078234,2.28505035,0.30983734,0,3.33075136,0.61967467,23,8,86,16,59,0,119,4.60883036,2582,314,12.16111541,Tract 000800,473,81.68086754,3.09837335,0,8.86909373,0,6.31293571,0.03872967,18.31913246,2109,2581,80,0,229,0,163,1,1326,1256,542,1573,467,51.35553834,48.64446166,20.99147947,60.92176607,18.08675445,15396.72215,12287102.96
10,53033000900,41843460.75,36672.81578,4649,235,11.9168357,135625,146,7.40365112,2.28194726,1.52129817,0.10141988,0,0.96348884,0,45,2,19,0,30,0,59,2.99188641,1972,254,12.88032454,Tract 000900,423,78.54969574,1.11561866,1.52129817,10.95334686,0.70993915,2.94117647,3.65111562,21.45030426,1549,1900,22,30,216,14,58,72,917,1055,353,1207,412,46.5010142,53.4989858,17.90060852,61.20689655,20.89249493,29802.97959,10244381.15
